# time	 data
0.000000000000000000e+00	1.879683321969144671e+00
2.000000000000000042e-02	1.794706057493841378e+00
4.000000000000000083e-02	3.610559277432362713e+00
5.999999999999999778e-02	1.857467748458412560e+00
8.000000000000000167e-02	3.028673246483557513e+00
1.000000000000000056e-01	2.121064945032964832e+00
1.199999999999999956e-01	3.446478141310063137e+00
1.400000000000000133e-01	2.401338029951993747e+00
1.600000000000000033e-01	2.571051531609170659e+00
1.799999999999999933e-01	2.158909920300587704e+00
2.000000000000000111e-01	3.124688428820619812e+00
2.200000000000000011e-01	3.073585512620348847e+00
2.399999999999999911e-01	3.146828701380436133e+00
2.600000000000000089e-01	2.396436045844699159e+00
2.800000000000000266e-01	2.176453072295959412e+00
2.999999999999999889e-01	3.295841051176333636e+00
3.200000000000000067e-01	2.713376809668940570e+00
3.400000000000000244e-01	2.827851918626536065e+00
3.599999999999999867e-01	3.787942492771100511e+00
3.800000000000000044e-01	2.592481736046846841e+00
4.000000000000000222e-01	3.486966832026554997e+00
4.199999999999999845e-01	3.384128687698198412e+00
4.400000000000000022e-01	3.054610537556874839e+00
4.600000000000000200e-01	2.793332409729825105e+00
4.799999999999999822e-01	2.862179328752136431e+00
5.000000000000000000e-01	3.900910064986455872e+00
5.200000000000000178e-01	3.133470749912679931e+00
5.400000000000000355e-01	3.095860436727856158e+00
5.600000000000000533e-01	3.325487683822095697e+00
5.799999999999999600e-01	2.734881444595314903e+00
5.999999999999999778e-01	3.246380948959708412e+00
6.199999999999999956e-01	3.812437462560609891e+00
6.400000000000000133e-01	3.593524015138453542e+00
6.600000000000000311e-01	3.259331915758354015e+00
6.800000000000000488e-01	2.669335776786629477e+00
7.000000000000000666e-01	3.282605735479813713e+00
7.199999999999999734e-01	3.010038595312846343e+00
7.399999999999999911e-01	3.390765587525097935e+00
7.600000000000000089e-01	2.982221103470069856e+00
7.800000000000000266e-01	2.664919472421138469e+00
8.000000000000000444e-01	4.157467040377813561e+00
8.200000000000000622e-01	4.461448710369440462e+00
8.399999999999999689e-01	3.467127770917648011e+00
8.599999999999999867e-01	3.356187871407874113e+00
8.800000000000000044e-01	2.550133342307061568e+00
9.000000000000000222e-01	2.819010023217221494e+00
9.200000000000000400e-01	3.041855168787633623e+00
9.400000000000000577e-01	3.063996833447709456e+00
9.599999999999999645e-01	3.488345222262405620e+00
9.799999999999999822e-01	4.228860799300145246e+00
1.000000000000000000e+00	3.619062804193831973e+00
1.020000000000000018e+00	4.334582300277569189e+00
1.040000000000000036e+00	3.640170311315165996e+00
1.060000000000000053e+00	3.883542287152345729e+00
1.080000000000000071e+00	3.758290388471109633e+00
1.100000000000000089e+00	2.528832272993049024e+00
1.120000000000000107e+00	3.281454439643049614e+00
1.140000000000000124e+00	3.035939333405929030e+00
1.159999999999999920e+00	3.442689007955313407e+00
1.179999999999999938e+00	3.511124554128865594e+00
1.199999999999999956e+00	3.947648873708750283e+00
1.219999999999999973e+00	2.768358725897258843e+00
1.239999999999999991e+00	3.812230115452555967e+00
